,IRASPSC,F450,F450_err,F450_qual,F850,F850_err,F850_qual,alpha,alpha_ci_low,alpha_ci_hi,alpha_ci_qual
97,IRAS18397+1738,140.3126037,46.7708679,-1,12.75,4.25,-1,,,,-99
98,IRAS18437-0643,563.8021341,187.9340447,-1,88.3,7.064,0,-3.1990049786587478,-12.660581248014845,5.0,1
99,IRAS18501-2132,345.31984,47.821616,0,201.0,16.080000000000002,0,0.22260413508460855,-6.341578926918359,5.0,1
100,IRAS18535+0726,164.5988454,54.866281799999996,-1,14.73,4.91,-1,,,,-99
101,IRAS18560-2954,297.7138098,99.2379366,-1,15.3,2.82,0,-1.064715590198687,-1.845732605708322,-0.27724775328341034,0
102,IRAS18595-3947,504.25263959999995,168.0842132,-1,14.3,3.19,0,1.3296796651547709,-3.8239384393710516,5.0,1
103,IRAS19007-2247,188.618804,38.299450529999994,0,95.8,7.664,0,0.005147905084164628,-6.805274760320664,5.0,1
104,IRAS19059-2219,189.040914,63.013638,-1,12.600000000000001,4.2,-1,,,,-99
105,IRAS19093-3256,445.3497408,148.4499136,-1,13.02,4.34,-1,,,,-99
106,IRAS19161+2343,590.9901447,196.9967149,-1,118.9,9.512,0,1.0502484682508346,-4.395948513181972,5.0,1
107,IRAS19175-0807,693.982473,231.327491,-1,28.0,5.61,0,1.5616124608132902,-3.174461146829607,5.0,1
108,IRAS19178-2620,189.040914,63.013638,-1,35.8,4.1899999999999995,0,0.3712612764706411,-6.070693803671672,5.0,1
109,IRAS19244+1115,445.3497408,148.4499136,-1,40.2,5.02,0,-1.9265670129098582,-2.333670808770938,-1.5187996201421805,0
110,IRAS19288+2923,124.86809699999999,41.622699,-1,18.5,2.39,0,-3.2393966996045367,-12.630399325777274,5.0,1
111,IRAS19296+4331,466.53756599999997,155.512522,-1,134.4,10.752,0,-3.227440484382764,-12.668330439549274,5.0,1
112,IRAS19327+3024,379.7546238,126.5848746,-1,22.9,4.83,0,-1.0338746848589282,-1.6261554062148376,-0.44172581669760946,0
113,IRAS19396+1637,1061.047,84.88376000000001,0,312.0,24.96,0,-0.7536916710070439,-1.339982368069856,-0.16648960614072783,0
114,IRAS19422+3506,183.24246,61.080819999999996,-1,13.919999999999998,4.64,-1,,,,-99
115,IRAS19503+2219,141.74049,47.246829999999996,-1,14.549999999999999,4.85,-1,,,,-99
116,IRAS19550-0201,890.195,128.506223,0,459.9,36.792,0,-2.0651899585789177,-2.700939666302481,-1.4325447543237038,0
117,IRAS20028+3910,159.6950674,22.8177367,0,98.9,7.912000000000001,0,-2.683141795535059,-3.191429252629201,-2.1756460165013194,0
118,IRAS20038-2722,359.2875378,119.7625126,-1,17.6,2.83,0,-2.1293127758064285,-2.9501629249745167,-1.3093321668369386,0
119,IRAS20077-0625,97.25754467,10.07360616,0,27.7,2.62,0,-2.287826842684764,-2.912956071366834,-1.6645590227436948,0
120,IRAS20248-2825,208.37718769999998,32.424900199999996,0,56.2,4.6000000000000005,0,-2.427767513560473,-2.899906490503879,-1.9532902689772418,0
121,IRAS20431+1754,693.799587,80.3665502,0,126.1,10.088,0,1.1185468814479238,-4.213400505920356,5.0,1
122,IRAS20440-0105,243.265638,51.8129755,0,62.9,5.032,0,1.1586436898936359,-4.130474281751867,5.0,1
123,IRAS20547+0247,388.708507,59.898281190000006,0,90.5,7.24,0,-3.21080054454214,-12.656618513341815,5.0,1
124,IRAS21044-1637,210.64617900000002,70.215393,-1,12.809999999999999,4.27,-1,,,,-99
125,IRAS21305+2118,374.63658599999997,39.110713499999996,0,80.0,6.4,0,-3.214657910538415,-12.655385731963651,5.0,1
126,IRAS21341+4508,149.427915,49.809305,-1,24.4,2.53,0,0.9748798982808964,-4.584643368097356,5.0,1
127,IRAS21419+5832,183.3155643,61.10518810000001,-1,31.6,4.47,0,-2.3128178444678875,-2.9458919143441467,-1.681667751287871,0
128,IRAS21543-1421,308.662032,102.887344,-1,14.700000000000001,4.9,-1,,,,-99
129,IRAS21554+6204,210.64617900000002,70.215393,-1,88.0,7.04,0,0.5600367271779565,-5.580269299927873,5.0,1
130,IRAS22035+3506,136.2990651,45.4330217,-1,13.559999999999999,4.52,-1,,,,-99
131,IRAS22216+3100,324.8081646,108.2693882,-1,43.2,5.04,0,-3.2117791478363547,-12.647425292818072,5.0,1
132,IRAS22525-2952,411.650714,64.35169365,0,94.5,7.5600000000000005,0,0.4553378738952766,-5.707047133014971,5.0,1
133,IRAS23013+3735,183.58756800000003,61.195856000000006,-1,20.04,6.68,-1,,,,-99
134,IRAS23166+1655,270.65011200000004,90.21670400000001,-1,21.7,5.04,0,-1.5741986377800388,-2.0561488809959774,-1.0924111365359994,0
135,IRAS23173+2600,139.6595071,24.276784730000003,0,51.0,5.09,0,0.5393942147340476,-5.537338195158863,5.0,1
136,IRAS23365+5159,137.36561849999998,45.7885395,-1,11.61,3.87,-1,,,,-99
137,IRAS23420+5618,442.64935049999997,147.5497835,-1,32.3,5.32,0,-3.207748937940046,-12.66502036648951,5.0,1
